


EXPERIMENT: input length 3
[2019-04-26 18:45] Train Step 0000/10000, Batch Size = 128, Examples/Sec = 285.92, Accuracy = 0.13, Loss = 2.303
[2019-04-26 18:45] Train Step 0010/10000, Batch Size = 128, Examples/Sec = 73363.07, Accuracy = 0.23, Loss = 2.133
[2019-04-26 18:45] Train Step 0020/10000, Batch Size = 128, Examples/Sec = 26891.95, Accuracy = 0.28, Loss = 2.066
[2019-04-26 18:45] Train Step 0030/10000, Batch Size = 128, Examples/Sec = 74173.93, Accuracy = 0.31, Loss = 1.992
[2019-04-26 18:45] Train Step 0040/10000, Batch Size = 128, Examples/Sec = 74710.68, Accuracy = 0.23, Loss = 2.028
[2019-04-26 18:45] Train Step 0050/10000, Batch Size = 128, Examples/Sec = 71937.68, Accuracy = 0.37, Loss = 1.872
[2019-04-26 18:45] Train Step 0060/10000, Batch Size = 128, Examples/Sec = 71899.14, Accuracy = 0.39, Loss = 1.887
[2019-04-26 18:45] Train Step 0070/10000, Batch Size = 128, Examples/Sec = 71697.50, Accuracy = 0.35, Loss = 1.858
[2019-04-26 18:45] Train Step 0080/10000, Batch Size = 128, Examples/Sec = 72063.21, Accuracy = 0.30, Loss = 1.945
[2019-04-26 18:45] Train Step 0090/10000, Batch Size = 128, Examples/Sec = 71496.99, Accuracy = 0.35, Loss = 1.841
[2019-04-26 18:45] Train Step 0100/10000, Batch Size = 128, Examples/Sec = 72072.88, Accuracy = 0.33, Loss = 1.822
[2019-04-26 18:45] Train Step 0110/10000, Batch Size = 128, Examples/Sec = 71956.96, Accuracy = 0.42, Loss = 1.804
[2019-04-26 18:45] Train Step 0120/10000, Batch Size = 128, Examples/Sec = 71344.97, Accuracy = 0.45, Loss = 1.801
[2019-04-26 18:45] Train Step 0130/10000, Batch Size = 128, Examples/Sec = 70622.32, Accuracy = 0.48, Loss = 1.781
[2019-04-26 18:45] Train Step 0140/10000, Batch Size = 128, Examples/Sec = 71649.66, Accuracy = 0.42, Loss = 1.752
[2019-04-26 18:45] Train Step 0150/10000, Batch Size = 128, Examples/Sec = 72082.56, Accuracy = 0.48, Loss = 1.750
[2019-04-26 18:45] Train Step 0160/10000, Batch Size = 128, Examples/Sec = 71477.95, Accuracy = 0.38, Loss = 1.736
[2019-04-26 18:45] Train Step 0170/10000, Batch Size = 128, Examples/Sec = 72160.07, Accuracy = 0.34, Loss = 1.767
[2019-04-26 18:45] Train Step 0180/10000, Batch Size = 128, Examples/Sec = 70939.60, Accuracy = 0.41, Loss = 1.728
[2019-04-26 18:45] Train Step 0190/10000, Batch Size = 128, Examples/Sec = 71640.10, Accuracy = 0.51, Loss = 1.735
[2019-04-26 18:46] Train Step 0200/10000, Batch Size = 128, Examples/Sec = 70892.77, Accuracy = 0.36, Loss = 1.694
[2019-04-26 18:46] Train Step 0210/10000, Batch Size = 128, Examples/Sec = 70845.99, Accuracy = 0.31, Loss = 1.797
[2019-04-26 18:46] Train Step 0220/10000, Batch Size = 128, Examples/Sec = 72257.19, Accuracy = 0.43, Loss = 1.689
[2019-04-26 18:46] Train Step 0230/10000, Batch Size = 128, Examples/Sec = 71042.86, Accuracy = 0.41, Loss = 1.668
[2019-04-26 18:46] Train Step 0240/10000, Batch Size = 128, Examples/Sec = 72053.54, Accuracy = 0.45, Loss = 1.663
[2019-04-26 18:46] Train Step 0250/10000, Batch Size = 128, Examples/Sec = 72014.88, Accuracy = 0.37, Loss = 1.694
[2019-04-26 18:46] Train Step 0260/10000, Batch Size = 128, Examples/Sec = 72082.56, Accuracy = 0.39, Loss = 1.642
[2019-04-26 18:46] Train Step 0270/10000, Batch Size = 128, Examples/Sec = 71764.59, Accuracy = 0.48, Loss = 1.688
[2019-04-26 18:46] Train Step 0280/10000, Batch Size = 128, Examples/Sec = 71193.60, Accuracy = 0.49, Loss = 1.671
[2019-04-26 18:46] Train Step 0290/10000, Batch Size = 128, Examples/Sec = 71841.42, Accuracy = 0.45, Loss = 1.655
[2019-04-26 18:46] Train Step 0300/10000, Batch Size = 128, Examples/Sec = 71851.03, Accuracy = 0.45, Loss = 1.652
[2019-04-26 18:46] Train Step 0310/10000, Batch Size = 128, Examples/Sec = 71899.14, Accuracy = 0.44, Loss = 1.666
[2019-04-26 18:46] Train Step 0320/10000, Batch Size = 128, Examples/Sec = 71640.10, Accuracy = 0.51, Loss = 1.622
[2019-04-26 18:46] Train Step 0330/10000, Batch Size = 128, Examples/Sec = 71080.49, Accuracy = 0.51, Loss = 1.565
[2019-04-26 18:46] Train Step 0340/10000, Batch Size = 128, Examples/Sec = 72014.88, Accuracy = 0.50, Loss = 1.640
[2019-04-26 18:46] Train Step 0350/10000, Batch Size = 128, Examples/Sec = 72024.54, Accuracy = 0.44, Loss = 1.610
[2019-04-26 18:46] Train Step 0360/10000, Batch Size = 128, Examples/Sec = 71707.08, Accuracy = 0.58, Loss = 1.556
[2019-04-26 18:46] Train Step 0370/10000, Batch Size = 128, Examples/Sec = 71707.08, Accuracy = 0.41, Loss = 1.588
[2019-04-26 18:46] Train Step 0380/10000, Batch Size = 128, Examples/Sec = 70613.04, Accuracy = 0.42, Loss = 1.601
[2019-04-26 18:46] Train Step 0390/10000, Batch Size = 128, Examples/Sec = 71439.91, Accuracy = 0.49, Loss = 1.562
[2019-04-26 18:46] Train Step 0400/10000, Batch Size = 128, Examples/Sec = 71937.68, Accuracy = 0.49, Loss = 1.596
[2019-04-26 18:46] Train Step 0410/10000, Batch Size = 128, Examples/Sec = 71477.95, Accuracy = 0.60, Loss = 1.486
[2019-04-26 18:46] Train Step 0420/10000, Batch Size = 128, Examples/Sec = 70761.95, Accuracy = 0.54, Loss = 1.593
[2019-04-26 18:46] Train Step 0430/10000, Batch Size = 128, Examples/Sec = 71745.41, Accuracy = 0.52, Loss = 1.547
[2019-04-26 18:46] Train Step 0440/10000, Batch Size = 128, Examples/Sec = 72208.60, Accuracy = 0.50, Loss = 1.568
[2019-04-26 18:46] Train Step 0450/10000, Batch Size = 128, Examples/Sec = 70179.20, Accuracy = 0.49, Loss = 1.566
[2019-04-26 18:46] Train Step 0460/10000, Batch Size = 128, Examples/Sec = 71601.88, Accuracy = 0.56, Loss = 1.496
