


EXPERIMENT: input length 3
[2019-04-29 20:05] Train Step 0000/10000, Batch Size = 128, Examples/Sec = 435.01, Accuracy = 0.11, Loss = 2.340
[2019-04-29 20:05] Train Step 0010/10000, Batch Size = 128, Examples/Sec = 28154.12, Accuracy = 0.87, Loss = 1.325
[2019-04-29 20:05] Train Step 0020/10000, Batch Size = 128, Examples/Sec = 27898.09, Accuracy = 1.00, Loss = 0.974
[2019-04-29 20:05] Train Step 0030/10000, Batch Size = 128, Examples/Sec = 27438.97, Accuracy = 1.00, Loss = 0.759
[2019-04-29 20:05] Train Step 0040/10000, Batch Size = 128, Examples/Sec = 27471.26, Accuracy = 1.00, Loss = 0.607
[2019-04-29 20:05] Train Step 0050/10000, Batch Size = 128, Examples/Sec = 27818.59, Accuracy = 1.00, Loss = 0.531
[2019-04-29 20:05] Train Step 0060/10000, Batch Size = 128, Examples/Sec = 27882.16, Accuracy = 1.00, Loss = 0.445
[2019-04-29 20:05] Train Step 0070/10000, Batch Size = 128, Examples/Sec = 27749.57, Accuracy = 1.00, Loss = 0.385
[2019-04-29 20:05] Train Step 0080/10000, Batch Size = 128, Examples/Sec = 28198.48, Accuracy = 1.00, Loss = 0.317
[2019-04-29 20:05] Train Step 0090/10000, Batch Size = 128, Examples/Sec = 28084.90, Accuracy = 1.00, Loss = 0.272
[2019-04-29 20:05] Train Step 0100/10000, Batch Size = 128, Examples/Sec = 28081.96, Accuracy = 1.00, Loss = 0.267
[2019-04-29 20:05] Train Step 0110/10000, Batch Size = 128, Examples/Sec = 27506.45, Accuracy = 1.00, Loss = 0.229
[2019-04-29 20:05] Train Step 0120/10000, Batch Size = 128, Examples/Sec = 28226.65, Accuracy = 1.00, Loss = 0.204
[2019-04-29 20:05] Train Step 0130/10000, Batch Size = 128, Examples/Sec = 28127.57, Accuracy = 1.00, Loss = 0.196
[2019-04-29 20:05] Train Step 0140/10000, Batch Size = 128, Examples/Sec = 27956.20, Accuracy = 1.00, Loss = 0.179
[2019-04-29 20:05] Train Step 0150/10000, Batch Size = 128, Examples/Sec = 27995.56, Accuracy = 1.00, Loss = 0.155
[2019-04-29 20:05] Train Step 0160/10000, Batch Size = 128, Examples/Sec = 27850.34, Accuracy = 1.00, Loss = 0.152
[2019-04-29 20:05] Train Step 0170/10000, Batch Size = 128, Examples/Sec = 28020.40, Accuracy = 1.00, Loss = 0.134
[2019-04-29 20:05] Train Step 0180/10000, Batch Size = 128, Examples/Sec = 27883.60, Accuracy = 1.00, Loss = 0.122
