


EXPERIMENT: input length 3
[2019-04-26 18:45] Train Step 0000/10000, Batch Size = 128, Examples/Sec = 425.04, Accuracy = 0.12, Loss = 2.303
[2019-04-26 18:45] Train Step 0010/10000, Batch Size = 128, Examples/Sec = 36422.72, Accuracy = 0.09, Loss = 2.324
[2019-04-26 18:45] Train Step 0020/10000, Batch Size = 128, Examples/Sec = 35834.40, Accuracy = 0.10, Loss = 2.298
[2019-04-26 18:45] Train Step 0030/10000, Batch Size = 128, Examples/Sec = 35495.60, Accuracy = 0.10, Loss = 2.290
[2019-04-26 18:45] Train Step 0040/10000, Batch Size = 128, Examples/Sec = 35483.87, Accuracy = 0.14, Loss = 2.290
[2019-04-26 18:45] Train Step 0050/10000, Batch Size = 128, Examples/Sec = 35734.22, Accuracy = 0.17, Loss = 2.272
[2019-04-26 18:45] Train Step 0060/10000, Batch Size = 128, Examples/Sec = 35920.71, Accuracy = 0.16, Loss = 2.269
[2019-04-26 18:45] Train Step 0070/10000, Batch Size = 128, Examples/Sec = 35693.83, Accuracy = 0.12, Loss = 2.277
[2019-04-26 18:45] Train Step 0080/10000, Batch Size = 128, Examples/Sec = 35935.13, Accuracy = 0.14, Loss = 2.267
[2019-04-26 18:45] Train Step 0090/10000, Batch Size = 128, Examples/Sec = 35858.33, Accuracy = 0.09, Loss = 2.283
[2019-04-26 18:45] Train Step 0100/10000, Batch Size = 128, Examples/Sec = 36017.10, Accuracy = 0.12, Loss = 2.285
[2019-04-26 18:45] Train Step 0110/10000, Batch Size = 128, Examples/Sec = 35947.17, Accuracy = 0.24, Loss = 2.262
[2019-04-26 18:45] Train Step 0120/10000, Batch Size = 128, Examples/Sec = 35786.62, Accuracy = 0.13, Loss = 2.269
[2019-04-26 18:45] Train Step 0130/10000, Batch Size = 128, Examples/Sec = 35549.66, Accuracy = 0.14, Loss = 2.275
[2019-04-26 18:45] Train Step 0140/10000, Batch Size = 128, Examples/Sec = 35665.38, Accuracy = 0.12, Loss = 2.275
