


EXPERIMENT: input length 3
[2019-04-30 10:39] Train Step 0000/10000, Batch Size = 512, Examples/Sec = 1370.64, Accuracy = 0.03, Loss = 2.328
[2019-04-30 10:39] Train Step 0010/10000, Batch Size = 512, Examples/Sec = 152141.95, Accuracy = 0.24, Loss = 2.158
[2019-04-30 10:39] Train Step 0020/10000, Batch Size = 512, Examples/Sec = 152998.27, Accuracy = 0.24, Loss = 2.070
[2019-04-30 10:39] Train Step 0030/10000, Batch Size = 512, Examples/Sec = 156055.78, Accuracy = 0.23, Loss = 2.018
[2019-04-30 10:39] Train Step 0040/10000, Batch Size = 512, Examples/Sec = 154029.81, Accuracy = 0.22, Loss = 1.974
[2019-04-30 10:39] Train Step 0050/10000, Batch Size = 512, Examples/Sec = 154997.02, Accuracy = 0.22, Loss = 1.915
[2019-04-30 10:39] Train Step 0060/10000, Batch Size = 512, Examples/Sec = 152791.44, Accuracy = 0.20, Loss = 1.897
[2019-04-30 10:39] Train Step 0070/10000, Batch Size = 512, Examples/Sec = 152357.83, Accuracy = 0.17, Loss = 1.883
[2019-04-30 10:39] Train Step 0080/10000, Batch Size = 512, Examples/Sec = 154728.99, Accuracy = 0.18, Loss = 1.830
[2019-04-30 10:39] Train Step 0090/10000, Batch Size = 512, Examples/Sec = 153666.09, Accuracy = 0.16, Loss = 1.814
[2019-04-30 10:39] Train Step 0100/10000, Batch Size = 512, Examples/Sec = 155738.90, Accuracy = 0.19, Loss = 1.781
[2019-04-30 10:39] Train Step 0110/10000, Batch Size = 512, Examples/Sec = 154085.07, Accuracy = 0.12, Loss = 1.780
[2019-04-30 10:39] Train Step 0120/10000, Batch Size = 512, Examples/Sec = 155243.52, Accuracy = 0.13, Loss = 1.747
[2019-04-30 10:39] Train Step 0130/10000, Batch Size = 512, Examples/Sec = 154717.84, Accuracy = 0.14, Loss = 1.720
[2019-04-30 10:39] Train Step 0140/10000, Batch Size = 512, Examples/Sec = 153996.68, Accuracy = 0.12, Loss = 1.713
[2019-04-30 10:39] Train Step 0150/10000, Batch Size = 512, Examples/Sec = 155378.31, Accuracy = 0.13, Loss = 1.700
[2019-04-30 10:39] Train Step 0160/10000, Batch Size = 512, Examples/Sec = 154206.78, Accuracy = 0.13, Loss = 1.670
[2019-04-30 10:39] Train Step 0170/10000, Batch Size = 512, Examples/Sec = 155310.89, Accuracy = 0.13, Loss = 1.647
[2019-04-30 10:39] Train Step 0180/10000, Batch Size = 512, Examples/Sec = 152856.69, Accuracy = 0.14, Loss = 1.619
[2019-04-30 10:39] Train Step 0190/10000, Batch Size = 512, Examples/Sec = 155603.48, Accuracy = 0.14, Loss = 1.597
[2019-04-30 10:39] Train Step 0200/10000, Batch Size = 512, Examples/Sec = 155479.56, Accuracy = 0.12, Loss = 1.611
[2019-04-30 10:39] Train Step 0210/10000, Batch Size = 512, Examples/Sec = 153809.17, Accuracy = 0.12, Loss = 1.613
[2019-04-30 10:39] Train Step 0220/10000, Batch Size = 512, Examples/Sec = 157359.39, Accuracy = 0.15, Loss = 1.569
[2019-04-30 10:39] Train Step 0230/10000, Batch Size = 512, Examples/Sec = 154361.96, Accuracy = 0.10, Loss = 1.613
[2019-04-30 10:39] Train Step 0240/10000, Batch Size = 512, Examples/Sec = 153041.88, Accuracy = 0.14, Loss = 1.547
[2019-04-30 10:39] Train Step 0250/10000, Batch Size = 512, Examples/Sec = 156191.99, Accuracy = 0.13, Loss = 1.559
[2019-04-30 10:39] Train Step 0260/10000, Batch Size = 512, Examples/Sec = 153633.11, Accuracy = 0.12, Loss = 1.550
[2019-04-30 10:39] Train Step 0270/10000, Batch Size = 512, Examples/Sec = 156112.51, Accuracy = 0.15, Loss = 1.525
[2019-04-30 10:39] Train Step 0280/10000, Batch Size = 512, Examples/Sec = 153172.87, Accuracy = 0.17, Loss = 1.484
[2019-04-30 10:39] Train Step 0290/10000, Batch Size = 512, Examples/Sec = 153908.38, Accuracy = 0.15, Loss = 1.505
[2019-04-30 10:39] Train Step 0300/10000, Batch Size = 512, Examples/Sec = 154439.67, Accuracy = 0.13, Loss = 1.508
