


EXPERIMENT: input length 3
[2019-04-30 10:39] Train Step 0000/10000, Batch Size = 128, Examples/Sec = 318.78, Accuracy = 0.11, Loss = 2.293
[2019-04-30 10:39] Train Step 0010/10000, Batch Size = 128, Examples/Sec = 42127.35, Accuracy = 0.19, Loss = 2.267
[2019-04-30 10:39] Train Step 0020/10000, Batch Size = 128, Examples/Sec = 41995.53, Accuracy = 0.25, Loss = 2.262
[2019-04-30 10:39] Train Step 0030/10000, Batch Size = 128, Examples/Sec = 42094.32, Accuracy = 0.18, Loss = 2.251
[2019-04-30 10:39] Train Step 0040/10000, Batch Size = 128, Examples/Sec = 42157.12, Accuracy = 0.24, Loss = 2.235
[2019-04-30 10:39] Train Step 0050/10000, Batch Size = 128, Examples/Sec = 42426.97, Accuracy = 0.19, Loss = 2.246
[2019-04-30 10:39] Train Step 0060/10000, Batch Size = 128, Examples/Sec = 42426.97, Accuracy = 0.17, Loss = 2.245
[2019-04-30 10:39] Train Step 0070/10000, Batch Size = 128, Examples/Sec = 42380.08, Accuracy = 0.22, Loss = 2.237
[2019-04-30 10:39] Train Step 0080/10000, Batch Size = 128, Examples/Sec = 42457.17, Accuracy = 0.19, Loss = 2.239
[2019-04-30 10:39] Train Step 0090/10000, Batch Size = 128, Examples/Sec = 41959.43, Accuracy = 0.20, Loss = 2.243
[2019-04-30 10:39] Train Step 0100/10000, Batch Size = 128, Examples/Sec = 42306.61, Accuracy = 0.28, Loss = 2.226
[2019-04-30 10:39] Train Step 0110/10000, Batch Size = 128, Examples/Sec = 42140.57, Accuracy = 0.24, Loss = 2.225
[2019-04-30 10:39] Train Step 0120/10000, Batch Size = 128, Examples/Sec = 42366.71, Accuracy = 0.19, Loss = 2.213
[2019-04-30 10:39] Train Step 0130/10000, Batch Size = 128, Examples/Sec = 42028.41, Accuracy = 0.18, Loss = 2.216
[2019-04-30 10:39] Train Step 0140/10000, Batch Size = 128, Examples/Sec = 42744.50, Accuracy = 0.26, Loss = 2.204
